Simulation number;DPW_ALPHA;DPW_EXPLORATION;MAX_ITERATION;run_time;EARLY_STOP;FORCE_0_FUEL;ALGORITHM;EXPLORATION_CONSTANT;OPTIMAL_ACTION_POLICY;EXP_CONST_DECAY;Average_Cost;Total_Time_Penalty_Cost;Total_Fuel_Cost
3793474;0.2;3;1000;6.276.390.790.939.330;True;False;ProgressiveWideningSolver;15000;MOST_VISITED;0.995;116301;0;116301
3793392;0.3;3;2000;23.343.659.162.521.300;False;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.995;116312;0;116312
3793442;0.2;3;1000;6.285.252.332.687.370;True;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.995;116375;0;116375
3793346;0.2;3;1000;5.924.047.946.929.930;False;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.995;116380;0;116380
3793418;0.2;3;2000;19.701.828.718.185.400;True;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.9998;116426;0;116426
3793426;0.2;3;2000;15.228.379.487.991.300;True;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.995;116539;0;116539
3793434;0.2;3;1000;694.758.939.743.042;True;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.9998;116689;0;116689
3793314;0.2;3;1000;5.596.400.022.506.710;False;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.995;116733;0;116733
3793302;0.2;3;1000;14.177.868.843.078.600;False;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.9998;116795;0;116795
3793430;0.2;3;1000;669.251.275.062.561;True;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.9998;116944;0;116944
3793422;0.2;3;2000;18.423.045.873.641.900;True;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.995;117071;0;117071
3793406;0.2;3;1000;9.749.904.155.731.200;True;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.995;117085;0;117085
3653901;0.3;3;100;4.140.393.018.722.530;True;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.9998;117095;0;117095
3793458;0.2;3;2000;14.435.814.619.064.300;True;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.995;117256;0;117256
3793378;0.2;3;1000;805.698.299.407.959;False;False;ProgressiveWideningSolver;15000;MOST_VISITED;0.995;117309;0;117309
3793410;0.2;3;1000;10.541.755.676.269.500;True;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.995;117358;0;117358
3793310;0.2;3;1000;5.485.082.387.924.190;False;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.995;117405;0;117405
3793308;0.3;3;1000;7.199.742.078.781.120;False;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.9998;117543;0;117543
3793350;0.2;3;2000;4.207.857.036.590.570;False;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.9998;117621;0;117621
3793428;0.3;3;2000;18.635.619.163.513.100;True;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.995;118137;0;118137
3793390;0.2;3;2000;16.677.952.527.999.800;False;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.995;118447;0;118447
3793470;0.2;3;1000;6.283.653.259.277.340;True;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.995;118783;0;118783
3793450;0.2;3;2000;1.336.250.376.701.350;True;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.9998;118832;0;118832
3793330;0.2;3;2000;1.217.309.856.414.790;False;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.995;119857;0;119857
3793402;0.2;3;1000;9.587.661.266.326.900;True;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.9998;120651;0;120651
