Simulation number,DPW_ALPHA,MAX_ITERATION,run_time,FORCE_0_FUEL,EXPLORATION_CONSTANT,OPTIMAL_ACTION_POLICY,EXP_CONST_DECAY,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
9773824,0.3,2000,89,True,120000,MOST_VISITED,0.9992,1166607,0,1166607
9773826,0.2,6000,323,False,120000,MIN_REWARD,0.9998,1334401,0,1334401
9773828,0.3,6000,467,False,120000,MIN_REWARD,0.9998,1283168,0,1283168
9773830,0.2,6000,336,False,120000,MOST_VISITED,0.9998,1338592,0,1338592
9773832,0.3,6000,433,False,120000,MOST_VISITED,0.9998,1269538,0,1269538
9773834,0.2,6000,215,True,120000,MIN_REWARD,0.9998,1142457,0,1142457
9773836,0.3,6000,308,True,120000,MIN_REWARD,0.9998,1121112,0,1121112
9773838,0.2,6000,213,True,120000,MOST_VISITED,0.9998,1259831,0,1259831
9773840,0.3,6000,311,True,120000,MOST_VISITED,0.9998,1130427,0,1130427
9773842,0.2,6000,325,False,120000,MIN_REWARD,0.9992,1335230,0,1335230
9773844,0.3,6000,456,False,120000,MIN_REWARD,0.9992,1246994,0,1246994
9773846,0.2,6000,324,False,120000,MOST_VISITED,0.9992,1330554,0,1330554
9773848,0.3,6000,464,False,120000,MOST_VISITED,0.9992,1251907,0,1251907
9773850,0.2,6000,218,True,120000,MIN_REWARD,0.9992,1194736,0,1194736
9773852,0.3,6000,308,True,120000,MIN_REWARD,0.9992,1166241,0,1166241
9773854,0.2,6000,215,True,120000,MOST_VISITED,0.9992,1208730,0,1208730
9773856,0.3,6000,306,True,120000,MOST_VISITED,0.9992,1164793,0,1164793
9773858,0.2,10000,557,False,120000,MIN_REWARD,0.9998,1328012,0,1328012
9773860,0.3,10000,798,False,120000,MIN_REWARD,0.9998,1223549,0,1223549
9773862,0.2,10000,558,False,120000,MOST_VISITED,0.9998,1319668,0,1319668
9773864,0.3,10000,816,False,120000,MOST_VISITED,0.9998,1271312,0,1271312
9773866,0.2,10000,374,True,120000,MIN_REWARD,0.9998,1235872,0,1235872
9773868,0.3,10000,539,True,120000,MIN_REWARD,0.9998,1162002,0,1162002
9773870,0.2,10000,385,True,120000,MOST_VISITED,0.9998,1167095,0,1167095
9773872,0.3,10000,497,True,120000,MOST_VISITED,0.9998,1164501,0,1164501
